Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 70x70x6;70,00;6,00;9,00;4,50;0,00;0,00;8,13;19,30;50,70;36,88;21,72;58,60;15,16;73,76;116,83;-45,00;21,30;16,30;26,90;13,70;30,10;37,90;7,49;9,35;2,40;-5,88;7,86;-5,56;6,16;5,88;11,84;5,56;7,27;2,49;3,37;3,36;-16,30;0,94;1,56;0,00;0,00;0,00;0,00;0,00;51,30;97,40;13,30;11,16;19,06;9,59;2,26;1,90;1,61;1,72;4,02;5,69;190,99;54,54;77,13;3,13;4,39;2,27;-13,40;13,40;-0,10;0,00;190,99;6,40;0,27;813,00;334,56
L 70x70x7;70,00;7,00;9,00;4,50;0,00;0,00;9,40;19,70;50,30;42,30;24,89;67,19;17,41;84,60;133,98;-45,00;21,20;16,30;26,70;13,60;30,00;37,80;8,61;10,77;2,76;-6,77;8,83;-6,25;7,05;6,77;13,57;6,25;8,41;2,90;3,96;3,90;-16,20;1,47;2,10;0,00;0,00;0,00;0,00;0,00;50,10;95,90;15,36;12,82;21,91;11,05;2,27;1,90;1,61;1,77;4,65;6,58;220,84;63,16;89,32;3,61;5,06;2,61;-12,90;12,90;-0,10;0,00;220,84;7,40;0,27;940,00;289,36
L 70x70x8;70,00;8,00;10,00;5,00;0,00;0,00;10,70;20,10;49,90;47,27;27,75;75,01;19,52;94,53;149,52;-45,00;21,00;16,10;26,50;13,50;29,70;37,40;9,70;12,12;3,11;-7,61;9,73;-6,88;7,90;7,61;15,15;6,88;9,46;3,30;4,52;4,43;-16,10;2,17;2,71;0,00;0,00;0,00;0,00;0,00;49,80;95,40;17,32;14,43;24,67;12,47;2,28;1,90;1,63;1,81;5,28;7,47;250,70;71,64;101,31;4,07;5,70;2,94;-12,40;12,40;-0,10;0,00;250,70;8,40;0,27;1070,00;253,27
L 70x70x9;70,00;9,00;9,00;4,50;0,00;0,00;11,90;20,50;49,50;52,47;30,71;83,18;21,76;104,94;165,91;-45,00;21,00;16,10;26,50;13,50;29,70;37,30;10,78;13,50;3,45;-8,45;10,60;-7,50;8,71;8,45;16,80;7,50;10,60;3,71;5,18;4,96;-16,00;3,05;3,38;0,00;0,00;0,00;0,00;0,00;48,10;93,30;19,33;15,99;27,35;13,87;2,29;1,89;1,63;1,85;5,90;8,34;279,12;79,98;113,11;4,54;6,34;3,26;-12,00;12,00;0,00;0,00;279,12;9,30;0,27;1190,00;228,57
L 70x70x10;70,00;10,00;9,00;4,50;0,00;0,00;13,10;20,90;49,10;57,24;33,36;90,60;23,88;114,48;180,75;-45,00;20,90;16,00;26,30;13,50;29,60;37,10;11,82;14,80;3,78;-9,26;11,42;-8,07;9,50;9,26;18,30;8,07;11,66;4,11;5,81;5,48;-15,90;4,12;4,12;0,00;0,00;0,00;0,00;0,00;47,10;92,10;21,25;17,50;29,93;15,23;2,29;1,89;1,64;1,89;6,50;9,19;307,55;88,19;124,72;4,99;6,95;3,58;-11,50;11,50;0,00;0,00;307,55;10,30;0,27;1310,00;207,63
L 75x75x4;75,00;4,00;9,00;4,00;0,00;0,00;5,93;19,60;55,40;31,43;18,42;49,85;13,01;62,86;100,29;-45,00;23,00;17,60;29,00;14,80;32,50;41,10;5,95;7,38;1,92;-4,63;6,64;-4,69;4,91;4,63;9,40;4,69;5,67;1,78;2,36;2,39;-17,60;0,31;0,77;0,00;0,00;0,00;0,00;0,00;56,70;106,50;10,47;8,83;15,08;7,56;2,26;1,91;1,60;1,61;2,92;4,13;139,73;39,62;56,03;2,46;3,47;1,81;-15,50;15,50;-0,20;0,00;139,73;4,70;0,29;593,00;492,41
L 75x75x5;75,00;5,00;9,00;4,50;0,00;0,00;7,34;20,10;54,90;38,77;22,82;61,59;15,96;77,55;122,79;-45,00;23,00;17,60;29,00;14,70;32,50;40,90;7,31;9,09;2,34;-5,74;7,95;-5,63;6,06;5,74;11,61;5,63;7,06;2,24;3,01;3,02;-17,60;0,59;1,18;0,00;0,00;0,00;0,00;0,00;56,10;105,90;12,92;10,89;18,59;9,33;2,25;1,90;1,60;1,66;3,63;5,13;172,43;49,18;69,56;3,04;4,27;2,22;-15,10;15,10;-0,10;0,00;172,43;5,80;0,29;734,00;397,82
L 75x75x6;75,00;6,00;9,00;4,50;0,00;0,00;8,73;20,50;54,50;45,83;27,01;72,84;18,82;91,66;145,25;-45,00;22,90;17,60;28,90;14,70;32,40;40,80;8,66;10,80;2,77;-6,80;9,17;-6,48;7,13;6,80;13,73;6,48;8,41;2,68;3,62;3,61;-17,50;1,01;1,68;0,00;0,00;0,00;0,00;0,00;54,80;104,30;15,37;12,88;22,01;11,06;2,26;1,89;1,60;1,71;4,32;6,11;205,09;58,61;82,89;3,61;5,08;2,62;-14,70;14,70;-0,10;0,00;205,09;6,90;0,29;873,00;334,48
L 75x75x7;75,00;7,00;9,00;4,50;0,00;0,00;10,10;21,00;54,00;52,61;30,99;83,60;21,62;105,22;166,75;-45,00;22,80;17,50;28,80;14,60;32,20;40,60;9,98;12,47;3,19;-7,83;10,32;-7,29;8,16;7,83;15,76;7,29;9,74;3,11;4,25;4,19;-17,50;1,58;2,26;0,00;0,00;0,00;0,00;0,00;53,70;103,20;17,76;14,82;25,32;12,75;2,27;1,89;1,61;1,75;5,00;7,08;237,29;67,91;96,03;4,17;5,86;3,01;-14,20;14,20;-0,10;0,00;237,29;7,90;0,29;1010,00;289,11
L 75x75x8;75,00;8,00;9,00;4,50;0,00;0,00;11,40;21,40;53,60;59,13;34,78;93,91;24,35;118,26;187,34;-45,00;22,70;17,50;28,60;14,60;32,10;40,50;11,25;14,08;3,59;-8,82;11,39;-8,06;9,15;8,82;17,71;8,06;11,03;3,55;4,89;4,76;-17,40;2,34;2,92;0,00;0,00;0,00;0,00;0,00;52,60;101,90;20,09;16,70;28,55;14,41;2,28;1,89;1,61;1,79;5,68;8,03;269,01;77,07;108,99;4,72;6,62;3,40;-13,70;13,70;0,00;0,00;269,01;8,90;0,29;1140,00;256,14
L 75x75x9;75,00;9,00;9,00;4,50;0,00;0,00;12,80;21,80;53,20;65,40;38,36;103,80;27,03;130,83;207,02;-45,00;22,60;17,30;28,50;14,50;32,00;40,20;12,49;15,65;3,99;-9,79;12,42;-8,78;10,11;9,79;19,57;8,78;12,29;3,98;5,54;5,34;-17,30;3,29;3,65;0,00;0,00;0,00;0,00;0,00;51,70;100,60;22,37;18,53;31,67;16,03;2,29;1,89;1,62;1,83;6,34;8,97;300,27;86,09;121,75;5,26;7,35;3,78;-13,20;13,20;0,00;0,00;300,27;10,00;0,29;1280,00;228,13
L 75x75x10;75,00;10,00;9,00;4,50;0,00;0,00;14,10;22,20;52,80;71,43;41,75;113,20;29,68;142,88;225,84;-45,00;22,50;17,20;28,30;14,50;31,80;40,00;13,68;17,17;4,38;-10,74;13,39;-9,47;11,03;10,74;21,35;9,47;13,52;4,41;6,21;5,90;-17,20;4,46;4,46;0,00;0,00;0,00;0,00;0,00;50,70;99,40;24,60;20,30;34,71;17,62;2,29;1,89;1,63;1,86;7,00;9,90;331,05;94,97;134,31;5,78;8,07;4,14;-12,70;12,70;0,00;0,00;331,05;11,10;0,29;1410,00;207,09
L 80x80x5;80,00;5,00;10,00;5,00;0,00;0,00;7,86;21,20;58,80;47,14;27,69;74,83;19,45;94,28;149,13;-45,00;24,50;18,80;30,90;15,70;34,60;43,60;8,33;10,36;2,68;-6,55;9,18;-6,49;6,93;6,55;13,23;6,49;8,02;2,40;3,19;3,23;-18,70;0,63;1,27;0,00;0,00;0,00;0,00;0,00;60,90;113,80;14,71;12,44;21,24;10,65;2,25;1,90;1,61;1,64;3,87;5,48;184,66;52,58;74,35;3,46;4,87;2,53;-16,20;16,20;-0,20;0,00;184,66;6,20;0,31;786,00;395,67
L 80x80x6;80,00;6,00;10,00;5,00;0,00;0,00;9,35;21,70;58,30;55,82;32,87;88,69;22,96;111,65;176,80;-45,00;24,40;18,70;30,80;15,70;34,50;43,50;9,89;12,32;3,17;-7,77;10,59;-7,49;8,17;7,77;15,68;7,49;9,57;2,86;3,85;3,85;-18,70;1,08;1,80;0,00;0,00;0,00;0,00;0,00;59,40;112,30;17,52;14,74;25,17;12,64;2,26;1,90;1,61;1,69;4,62;6,53;219,68;62,68;88,65;4,12;5,79;3,00;-15,80;15,80;-0,10;0,00;219,68;7,30;0,31;935,00;332,62
L 80x80x7;80,00;7,00;10,00;5,00;0,00;0,00;10,80;22,10;57,90;64,19;37,81;102,00;26,38;128,38;203,38;-45,00;24,40;18,70;30,70;15,60;34,50;43,40;11,40;14,24;3,65;-8,95;11,93;-8,43;9,37;8,95;18,03;8,43;11,09;3,33;4,51;4,48;-18,60;1,70;2,43;0,00;0,00;0,00;0,00;0,00;58,10;110,70;20,26;16,97;28,99;14,58;2,26;1,90;1,61;1,73;5,36;7,57;254,22;72,66;102,75;4,76;6,69;3,45;-15,30;15,30;-0,10;0,00;254,22;8,50;0,31;1080,00;287,96
L 80x80x8;80,00;8,00;10,00;5,00;0,00;0,00;12,30;22,50;57,50;72,25;42,52;114,80;29,72;144,52;228,89;-45,00;24,30;18,60;30,60;15,60;34,40;43,10;12,87;16,10;4,12;-10,10;13,18;-9,32;10,51;10,10;20,29;9,32;12,58;3,79;5,18;5,10;-18,50;2,51;3,14;0,00;0,00;0,00;0,00;0,00;57,00;109,60;22,95;19,14;32,70;16,49;2,27;1,89;1,61;1,77;6,08;8,60;288,30;82,49;116,66;5,39;7,57;3,89;-14,80;14,80;-0,10;0,00;288,30;9,70;0,31;1230,00;252,85
L 80x80x9;80,00;9,00;10,00;5,00;0,00;0,00;13,70;23,00;57,00;80,01;47,01;127,00;33,01;160,01;253,36;-45,00;24,20;18,50;30,50;15,50;34,20;43,00;14,30;17,91;4,57;-11,22;14,37;-10,17;11,63;11,22;22,45;10,17;14,03;4,25;5,87;5,70;-18,50;3,53;3,92;0,00;0,00;0,00;0,00;0,00;56,00;108,30;25,58;21,25;36,32;18,35;2,28;1,89;1,62;1,81;6,80;9,61;321,90;92,19;130,38;6,01;8,42;4,33;-14,30;14,30;0,00;0,00;321,90;10,80;0,31;1370,00;227,01
L 80x80x10;80,00;10,00;10,00;5,00;0,00;0,00;15,10;23,40;56,60;87,50;51,27;138,80;36,24;175,04;276,83;-45,00;24,10;18,40;30,30;15,50;34,10;42,80;15,68;19,67;5,02;-12,31;15,51;-10,97;12,70;12,31;24,54;10,97;15,45;4,71;6,57;6,31;-18,40;4,79;4,79;0,00;0,00;0,00;0,00;0,00;55,00;107,00;28,15;23,30;39,83;20,18;2,29;1,89;1,62;1,84;7,50;10,61;355,04;101,76;143,91;6,62;9,24;4,75;-13,90;13,90;0,00;0,00;355,04;11,90;0,31;1510,00;205,96
L 90x90x5;90,00;5,00;11,00;5,00;0,00;0,00;8,88;23,60;66,40;67,67;39,68;107,30;27,98;135,28;215,58;-45,00;27,60;21,10;34,80;17,80;39,00;49,30;10,67;13,24;3,44;-8,32;11,86;-8,39;8,82;8,32;16,86;8,39;10,18;2,67;3,54;3,59;-21,10;0,72;1,43;0,00;0,00;0,00;0,00;0,00;68,20;127,60;18,79;15,86;27,08;13,57;2,26;1,91;1,61;1,62;4,37;6,19;209,23;59,36;83,95;4,42;6,22;3,25;-18,60;18,60;-0,20;0,00;209,23;7,00;0,35;888,00;395,27
L 90x90x6;90,00;6,00;11,00;5,50;0,00;0,00;10,60;24,10;65,90;80,72;47,57;128,30;33,16;161,46;254,28;-45,00;27,70;21,20;34,90;17,70;39,20;49,00;12,62;15,70;4,05;-9,95;13,78;-9,75;10,50;9,95;20,16;9,75;12,26;3,26;4,35;4,40;-21,10;1,23;2,04;0,00;0,00;0,00;0,00;0,00;67,60;127,60;22,30;18,81;32,13;16,12;2,24;1,89;1,59;1,65;5,22;7,38;248,41;70,82;100,16;5,24;7,38;3,83;-18,10;18,10;-0,20;0,00;248,41;8,30;0,35;1060,00;331,13
L 90x90x7;90,00;7,00;11,00;5,50;0,00;0,00;12,20;24,50;65,50;92,55;54,52;147,10;38,03;185,13;293,23;-45,00;27,50;21,10;34,70;17,60;38,90;49,00;14,58;18,17;4,67;-11,45;15,51;-10,97;12,02;11,45;23,11;10,97;14,13;3,75;5,06;5,06;-21,00;1,93;2,75;0,00;0,00;0,00;0,00;0,00;66,20;125,60;25,84;21,69;37,06;18,62;2,26;1,90;1,60;1,70;6,05;8,56;287,65;82,15;116,18;6,07;8,54;4,41;-17,70;17,70;-0,10;0,00;287,65;9,60;0,35;1220,00;287,71
L 90x90x8;90,00;8,00;11,00;5,50;0,00;0,00;13,90;25,00;65,00;104,40;61,50;165,90;42,89;208,79;330,81;-45,00;27,40;21,00;34,60;17,60;38,70;48,80;16,48;20,58;5,27;-12,94;17,19;-12,15;13,52;12,94;26,07;12,15;16,05;4,28;5,81;5,76;-21,00;2,85;3,56;0,00;0,00;0,00;0,00;0,00;65,00;124,40;29,30;24,51;41,87;21,07;2,26;1,89;1,61;1,73;6,88;9,73;326,43;93,35;132,01;6,89;9,67;4,98;-17,20;17,20;-0,10;0,00;326,43;10,90;0,35;1390,00;252,52
L 90x90x9;90,00;9,00;11,00;5,50;0,00;0,00;15,50;25,40;64,60;115,80;68,19;184,00;47,65;231,65;367,04;-45,00;27,30;21,00;34,40;17,50;38,60;48,70;18,34;22,94;5,86;-14,38;18,75;-13,27;14,97;14,38;28,91;13,27;17,93;4,79;6,57;6,45;-20,90;4,02;4,46;0,00;0,00;0,00;0,00;0,00;63,90;123,10;32,70;27,25;46,57;23,48;2,27;1,90;1,61;1,77;7,70;10,88;364,73;104,40;147,65;7,68;10,78;5,54;-16,70;16,70;-0,10;0,00;364,73;12,20;0,35;1550,00;226,45
L 90x90x10;90,00;10,00;11,00;5,50;0,00;0,00;17,10;25,80;64,20;126,90;74,59;201,50;52,33;253,83;401,96;-45,00;27,20;20,90;34,30;17,50;38,50;48,50;20,15;25,23;6,44;-15,80;20,28;-14,34;16,38;15,80;31,66;14,34;19,77;5,31;7,34;7,13;-20,80;5,46;5,46;0,00;0,00;0,00;0,00;0,00;62,90;121,80;36,03;29,93;51,15;25,84;2,28;1,89;1,62;1,80;8,50;12,02;402,57;115,33;163,10;8,47;11,86;6,09;-16,20;16,20;0,00;0,00;402,57;13,40;0,35;1710,00;205,26
L 90x90x11;90,00;11,00;11,00;5,50;0,00;0,00;18,70;26,20;63,80;137,60;80,70;218,30;56,94;275,24;435,60;-45,00;27,10;20,80;34,20;17,40;38,30;48,30;21,91;27,47;7,01;-17,18;21,72;-15,37;17,74;17,18;34,30;15,37;21,57;5,83;8,13;7,81;-20,70;7,19;6,54;0,00;0,00;0,00;0,00;0,00;61,90;120,50;39,29;32,53;55,62;28,16;2,29;1,89;1,62;1,83;9,29;13,15;439,93;126,11;178,35;9,23;12,91;6,63;-15,70;15,70;0,00;0,00;439,93;14,70;0,35;1870,00;187,70
L 90x90x16;90,00;16,00;11,00;5,50;0,00;0,00;26,40;28,10;61,90;186,40;107,00;293,50;79,40;372,90;585,74;-45,00;26,60;20,10;33,40;17,40;37,60;47,10;30,26;37,84;9,67;-23,74;28,27;-19,99;24,10;23,74;46,12;19,99;30,11;8,45;12,39;11,16;-20,10;21,02;13,13;0,00;0,00;0,00;0,00;0,00;57,30;114,20;54,76;44,56;76,31;39,24;2,31;1,88;1,66;1,96;13,12;18,55;619,71;178,01;251,74;12,87;17,79;9,21;-13,40;13,40;0,10;0,00;619,71;20,70;0,35;2640,00;132,96
L 100x100x6;100,00;6,00;12,00;6,00;0,00;0,00;11,80;26,40;73,60;111,10;65,25;176,30;45,80;222,10;351,42;-45,00;30,70;23,50;38,70;19,70;43,40;54,60;15,68;19,48;5,04;-12,33;17,36;-12,26;13,04;12,33;24,93;12,26;15,09;3,60;4,80;4,84;-23,40;1,37;2,28;0,00;0,00;0,00;0,00;0,00;75,90;142,10;27,66;23,38;39,93;20,02;2,24;1,90;1,60;1,63;5,82;8,23;277,19;78,96;111,67;6,50;9,16;4,76;-20,40;20,40;-0,20;0,00;277,19;9,30;0,39;1180,00;330,51
L 100x100x7;100,00;7,00;12,00;6,00;0,00;0,00;13,70;26,90;73,10;128,20;75,48;203,70;52,72;256,42;406,10;-45,00;30,60;23,50;38,60;19,60;43,30;54,40;18,13;22,58;5,81;-14,25;19,59;-13,85;15,01;14,25;28,81;13,85;17,54;4,18;5,62;5,63;-23,40;2,16;3,08;0,00;0,00;0,00;0,00;0,00;74,40;140,60;32,08;27,00;46,11;23,15;2,25;1,90;1,60;1,67;6,76;9,55;321,14;91,65;129,61;7,54;10,61;5,49;-20,00;20,00;-0,20;0,00;321,14;10,80;0,39;1370,00;284,67
L 100x100x8;100,00;8,00;12,00;6,00;0,00;0,00;15,50;27,40;72,60;144,80;85,35;230,20;59,49;289,69;459,05;-45,00;30,60;23,50;38,50;19,60;43,30;54,40;20,54;25,61;6,56;-16,11;21,72;-15,37;16,91;16,11;32,56;15,37;19,94;4,76;6,45;6,42;-23,40;3,19;3,99;0,00;0,00;0,00;0,00;0,00;73,10;139,30;36,42;30,54;52,16;26,22;2,26;1,90;1,60;1,71;7,68;10,86;364,61;104,20;147,36;8,56;12,04;6,21;-19,50;19,50;-0,10;0,00;364,61;12,20;0,39;1550,00;251,61
L 100x100x9;100,00;9,00;12,00;6,00;0,00;0,00;17,30;27,80;72,20;161,00;94,86;255,90;66,13;322,03;510,31;-45,00;30,50;23,40;38,40;19,50;43,10;54,30;22,88;28,58;7,31;-17,95;23,79;-16,82;18,75;17,95;36,19;16,82;22,30;5,34;7,28;7,19;-23,30;4,50;5,00;0,00;0,00;0,00;0,00;0,00;71,90;137,80;40,68;34,00;58,08;29,24;2,27;1,89;1,61;1,74;8,60;12,16;407,62;116,62;164,92;9,56;13,43;6,91;-19,10;19,10;-0,10;0,00;407,62;13,60;0,39;1730,00;225,43
L 100x100x10;100,00;10,00;12,00;6,00;0,00;0,00;19,20;28,20;71,80;176,70;104,00;280,70;72,66;353,36;559,91;-45,00;30,40;23,30;38,30;19,50;43,00;54,00;25,17;31,48;8,04;-19,75;25,76;-18,21;20,53;19,75;39,70;18,21;24,62;5,92;8,12;7,96;-23,20;6,12;6,12;0,00;0,00;0,00;0,00;0,00;70,90;136,50;44,87;37,38;63,88;32,20;2,27;1,89;1,61;1,77;9,50;13,44;450,15;128,89;182,28;10,54;14,79;7,60;-18,60;18,60;-0,10;0,00;450,15;15,10;0,39;1920,00;203,13
L 100x100x11;100,00;11,00;12,00;6,00;0,00;0,00;20,90;28,60;71,40;191,90;112,80;304,70;79,09;383,79;607,89;-45,00;30,30;23,20;38,10;19,40;42,90;53,90;27,41;34,32;8,75;-21,49;27,63;-19,53;22,27;21,49;43,09;19,53;26,89;6,49;8,98;8,72;-23,10;8,08;7,34;0,00;0,00;0,00;0,00;0,00;69,90;135,20;48,99;40,69;69,54;35,12;2,28;1,89;1,61;1,80;10,40;14,70;492,22;141,04;199,46;11,51;16,13;8,28;-18,10;18,10;-0,10;0,00;492,22;16,40;0,39;2090,00;186,60
L 100x100x12;100,00;12,00;12,00;6,00;0,00;0,00;22,70;29,00;71,00;206,70;121,30;327,90;85,44;413,34;654,30;-45,00;30,20;23,10;38,00;19,40;42,70;53,70;29,60;37,09;9,45;-23,20;29,42;-20,81;23,96;23,20;46,37;20,81;29,12;7,07;9,85;9,48;-23,00;10,39;8,66;0,00;0,00;0,00;0,00;0,00;68,90;133,90;53,03;43,92;75,08;38,00;2,29;1,89;1,62;1,83;11,28;15,95;533,81;153,04;216,44;12,46;17,43;8,95;-17,60;17,60;0,00;0,00;533,81;17,80;0,39;2270,00;171,81
L 100x100x14;100,00;14,00;12,00;6,00;0,00;0,00;26,20;29,80;70,20;235,00;137,10;372,10;97,92;470,02;742,49;-45,00;30,00;22,90;37,70;19,30;42,40;53,20;33,85;42,45;10,82;-26,54;32,84;-23,23;27,22;26,54;52,62;23,23;33,48;8,23;11,65;10,98;-22,80;16,21;11,58;0,00;0,00;0,00;0,00;0,00;67,00;131,50;60,92;50,16;85,78;43,62;2,30;1,89;1,63;1,88;13,02;18,41;615,59;176,65;249,82;14,32;19,95;10,26;-16,70;16,70;0,00;0,00;615,59;20,60;0,39;2620,00;148,86
L 100x100x16;100,00;16,00;12,00;6,00;0,00;0,00;29,60;30,60;69,40;261,70;151,50;413,30;110,20;523,50;824,78;-45,00;29,70;22,60;37,40;19,30;42,00;52,80;37,99;47,57;12,14;-29,76;36,06;-25,50;30,34;29,76;58,45;25,50;37,70;9,38;13,53;12,47;-22,60;23,75;14,84;0,00;0,00;0,00;0,00;0,00;65,20;129,10;68,55;56,09;96,00;49,09;2,30;1,89;1,64;1,93;14,72;20,82;695,49;199,72;282,44;16,11;22,36;11,53;-15,70;15,70;0,10;0,00;695,49;23,20;0,39;2960,00;131,76
L 100x100x18;100,00;18,00;12,00;6,00;0,00;0,00;32,90;31,30;68,70;287,00;164,60;451,60;122,00;573,60;901,42;-45,00;29,50;22,40;37,00;19,00;41,70;52,30;41,94;52,46;13,41;-32,90;39,10;-27,56;33,26;32,90;63,87;27,56;41,80;10,56;15,43;13,94;-22,30;33,18;18,43;0,00;0,00;0,00;0,00;0,00;63,40;126,50;75,94;61,74;105,74;54,42;2,31;1,88;1,66;1,98;16,38;23,16;773,51;222,24;314,29;17,85;24,65;12,77;-14,80;14,80;0,20;0,00;773,51;25,80;0,39;3290,00;118,54
L 110x110x6;110,00;6,00;12,00;6,00;0,00;0,00;13,00;28,90;81,10;149,50;87,87;237,30;61,60;298,90;473,28;-45,00;33,90;26,00;42,70;21,80;47,90;60,30;19,10;23,76;6,15;-15,04;21,32;-15,07;15,93;15,04;30,51;15,07;18,43;3,97;5,31;5,34;-25,90;1,51;2,52;0,00;0,00;0,00;0,00;0,00;82,90;156,20;33,70;28,45;48,59;24,35;2,24;1,89;1,59;1,62;6,42;9,08;305,39;87,11;123,19;7,92;11,17;5,79;-22,90;22,90;-0,20;0,00;305,39;10,20;0,43;1300,00;330,77
