Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 110x110x7;110,00;7,00;12,00;6,00;0,00;0,00;15,10;29,40;80,60;172,70;101,70;274,40;70,94;345,34;547,39;-45,00;33,90;26,00;42,70;21,70;47,90;60,20;22,12;27,55;7,05;-17,40;24,15;-17,06;18,34;17,40;35,28;17,06;21,43;4,62;6,22;6,22;-25,90;2,38;3,41;0,00;0,00;0,00;0,00;0,00;81,40;154,70;39,11;32,89;56,16;28,17;2,25;1,89;1,59;1,65;7,45;10,54;354,04;101,15;143,04;9,19;12,95;6,69;-22,50;22,50;-0,10;0,00;354,04;11,90;0,43;1510,00;284,77
L 110x110x8;110,00;8,00;12,00;6,00;0,00;0,00;17,10;29,90;80,10;195,30;115,20;310,50;80,11;390,61;619,39;-45,00;33,80;26,00;42,60;21,60;47,80;60,20;25,08;31,27;7,98;-19,69;26,83;-18,97;20,68;19,69;39,92;18,97;24,37;5,26;7,13;7,08;-25,90;3,53;4,42;0,00;0,00;0,00;0,00;0,00;80,20;153,40;44,42;37,23;63,59;31,93;2,26;1,89;1,59;1,68;8,48;11,99;402,21;115,05;162,71;10,44;14,70;7,56;-22,00;22,00;-0,10;0,00;402,21;13,40;0,43;1710,00;251,46
L 110x110x9;110,00;9,00;12,00;6,00;0,00;0,00;19,10;30,30;79,70;217,30;128,20;345,50;89,10;434,60;689,30;-45,00;33,70;25,90;42,50;21,60;47,70;60,10;27,97;34,92;8,89;-21,94;29,41;-20,80;22,95;21,94;44,42;20,80;27,26;5,90;8,04;7,94;-25,80;4,99;5,54;0,00;0,00;0,00;0,00;0,00;79,00;152,00;49,65;41,49;70,88;35,63;2,26;1,89;1,60;1,71;9,50;13,43;449,92;128,83;182,19;11,67;16,41;8,43;-21,50;21,50;-0,10;0,00;449,92;15,00;0,43;1910,00;225,13
L 110x110x10;110,00;10,00;13,00;6,50;0,00;0,00;21,20;30,60;79,40;238,00;140,20;378,20;97,74;475,94;754,42;-45,00;33,50;25,70;42,30;21,50;47,40;59,70;30,75;38,41;9,81;-24,13;31,92;-22,56;25,17;24,13;48,62;22,56;29,99;6,53;8,91;8,79;-25,60;6,79;6,79;0,00;0,00;0,00;0,00;0,00;78,80;151,20;54,68;45,67;78,02;39,27;2,27;1,89;1,61;1,74;10,50;14,85;497,79;142,46;201,47;12,85;18,05;9,28;-20,90;20,90;-0,10;0,00;497,79;16,60;0,43;2120,00;202,36
L 110x110x11;110,00;11,00;13,00;6,50;0,00;0,00;23,20;31,10;78,90;258,80;152,40;411,20;106,40;517,60;820,33;-45,00;33,40;25,60;42,10;21,40;47,20;59,50;33,52;41,92;10,69;-26,28;34,26;-24,22;27,32;26,28;52,87;24,22;32,79;7,16;9,83;9,64;-25,60;8,97;8,15;0,00;0,00;0,00;0,00;0,00;77,80;150,20;59,75;49,76;85,02;42,86;2,27;1,89;1,61;1,77;11,49;16,26;544,55;155,96;220,56;14,04;19,70;10,12;-20,50;20,50;-0,10;0,00;544,55;18,20;0,43;2320,00;184,91
L 110x110x12;110,00;12,00;13,00;6,50;0,00;0,00;25,10;31,50;78,50;279,10;164,10;443,20;115,00;558,20;884,29;-45,00;33,30;25,60;42,00;21,40;47,10;59,40;36,24;45,35;11,56;-28,40;36,55;-25,84;29,43;28,40;56,98;25,84;35,54;7,80;10,78;10,47;-25,50;11,55;9,62;0,00;0,00;0,00;0,00;0,00;76,80;148,90;64,73;53,76;91,88;46,40;2,28;1,89;1,61;1,80;12,48;17,65;590,85;169,33;239,46;15,21;21,32;10,94;-20,00;20,00;-0,10;0,00;590,85;19,70;0,43;2510,00;170,92
L 110x110x14;110,00;14,00;13,00;6,50;0,00;0,00;29,00;32,30;77,70;318,10;186,30;504,40;131,80;636,20;1006,48;-45,00;33,10;25,30;41,70;21,30;46,80;58,90;41,48;52,02;13,25;-32,52;40,86;-28,89;33,48;32,52;64,85;28,89;40,92;9,06;12,70;12,14;-25,30;18,04;12,88;0,00;0,00;0,00;0,00;0,00;74,90;146,50;74,46;61,52;105,19;53,32;2,29;1,89;1,62;1,85;14,42;20,39;682,03;195,65;276,69;17,50;24,45;12,55;-19,00;19,00;0,00;0,00;682,03;22,80;0,43;2900,00;147,93
L 120x120x7;120,00;7,00;13,00;6,50;0,00;0,00;16,50;31,80;88,20;225,60;132,80;358,40;92,80;451,20;714,73;-45,00;37,00;28,40;46,60;23,70;52,30;65,80;26,45;32,92;8,50;-20,81;29,21;-20,65;22,00;20,81;42,24;20,65;25,57;5,04;6,76;6,79;-28,30;2,61;3,73;0,00;0,00;0,00;0,00;0,00;89,70;169,70;46,71;39,35;67,20;33,69;2,25;1,89;1,59;1,63;8,15;11,53;387,57;110,65;156,48;10,98;15,47;8,01;-24,80;24,80;-0,20;0,00;387,57;13,00;0,47;1650,00;284,24
L 120x120x8;120,00;8,00;13,00;6,50;0,00;0,00;18,70;32,20;87,80;255,40;150,60;406,00;104,80;510,80;809,91;-45,00;36,90;28,40;46,50;23,70;52,20;65,80;30,01;37,40;9,56;-23,58;32,50;-22,98;24,83;23,58;47,85;22,98;29,11;5,75;7,76;7,74;-28,20;3,87;4,84;0,00;0,00;0,00;0,00;0,00;88,30;168,30;53,10;44,59;76,15;38,21;2,25;1,89;1,59;1,66;9,28;13,12;440,45;125,91;178,06;12,48;17,58;9,06;-24,40;24,40;-0,10;0,00;440,45;14,70;0,47;1870,00;250,80
L 120x120x9;120,00;9,00;13,00;6,50;0,00;0,00;21,00;32,70;87,30;284,50;167,90;452,40;116,70;569,10;902,58;-45,00;36,80;28,30;46,40;23,60;52,00;65,60;33,51;41,80;10,66;-26,29;35,66;-25,24;27,60;26,29;53,32;25,24;32,59;6,44;8,76;8,68;-28,20;5,48;6,08;0,00;0,00;0,00;0,00;0,00;87,10;166,80;59,39;49,73;84,94;42,66;2,26;1,89;1,59;1,69;10,40;14,70;492,85;141,04;199,46;13,96;19,65;10,10;-23,90;23,90;-0,10;0,00;492,85;16,50;0,47;2100,00;223,33
L 120x120x10;120,00;10,00;13,00;6,50;0,00;0,00;23,20;33,10;86,90;312,90;184,60;497,60;128,30;625,90;992,79;-45,00;36,70;28,20;46,30;23,50;51,90;65,40;36,94;46,12;11,74;-28,97;38,72;-27,38;30,28;28,97;58,64;27,38;36,03;7,14;9,75;9,62;-28,10;7,46;7,46;0,00;0,00;0,00;0,00;0,00;86,00;165,40;65,59;54,78;93,57;47,05;2,26;1,89;1,60;1,72;11,50;16,26;544,79;156,03;220,66;15,41;21,68;11,12;-23,40;23,40;-0,10;0,00;544,79;18,20;0,47;2320,00;202,16
L 120x120x11;120,00;11,00;13,00;6,50;0,00;0,00;25,40;33,60;86,40;340,60;200,90;541,50;139,80;681,30;1080,58;-45,00;36,60;28,10;46,20;23,50;51,80;65,20;40,31;50,37;12,80;-31,57;41,63;-29,46;32,90;31,57;63,82;29,46;39,41;7,84;10,76;10,55;-28,10;9,85;8,96;0,00;0,00;0,00;0,00;0,00;84,90;164,40;71,70;59,73;102,05;51,38;2,27;1,89;1,60;1,74;12,59;17,81;596,25;170,89;241,67;16,85;23,67;12,13;-22,90;22,90;-0,10;0,00;596,25;19,90;0,47;2540,00;184,65
L 120x120x12;120,00;12,00;13,00;6,50;0,00;0,00;27,50;34,00;86,00;367,70;216,60;584,30;151,10;735,40;1166,00;-45,00;36,50;28,10;46,10;23,40;51,60;65,10;43,62;54,54;13,85;-34,15;44,49;-31,46;35,46;34,15;68,86;31,46;42,73;8,53;11,78;11,47;-28,00;12,70;10,58;0,00;0,00;0,00;0,00;0,00;84,00;163,20;77,72;64,60;110,38;55,65;2,28;1,89;1,60;1,77;13,68;19,35;647,25;185,61;262,49;18,26;25,63;13,13;-22,40;22,40;0,00;0,00;647,25;21,60;0,47;2750,00;170,55
L 120x120x13;120,00;13,00;13,00;6,50;0,00;0,00;29,70;34,40;85,60;394,00;231,80;625,80;162,20;788,00;1249,08;-45,00;36,40;27,90;45,90;23,40;51,50;64,90;46,86;58,63;14,89;-36,66;47,20;-33,38;37,94;36,66;73,75;33,38;46,01;9,22;12,80;12,39;-27,90;16,02;12,33;0,00;0,00;0,00;0,00;0,00;83,00;161,90;83,65;69,37;118,55;59,86;2,28;1,89;1,61;1,79;14,75;20,87;697,77;200,19;283,11;19,66;27,56;14,11;-21,90;21,90;0,00;0,00;697,77;23,30;0,47;2970,00;157,91
L 120x120x14;120,00;14,00;13,00;6,50;0,00;0,00;31,80;34,80;85,20;419,80;246,50;666,30;173,30;839,60;1329,88;-45,00;36,30;27,80;45,80;23,30;51,30;64,70;50,03;62,65;15,91;-39,14;49,86;-35,26;40,39;39,14;78,52;35,26;49,25;9,91;13,85;13,30;-27,80;19,86;14,19;0,00;0,00;0,00;0,00;0,00;82,10;160,80;89,50;74,05;126,57;64,01;2,29;1,89;1,61;1,82;15,82;22,37;747,83;214,64;303,55;21,03;29,44;15,08;-21,40;21,40;0,00;0,00;747,83;25,00;0,47;3180,00;147,48
L 120x120x15;120,00;15,00;13,00;6,50;0,00;0,00;33,90;35,10;84,90;444,90;260,70;705,60;184,20;889,80;1408,43;-45,00;36,20;27,70;45,60;23,30;51,20;64,50;53,15;66,59;16,92;-41,58;52,41;-37,06;42,78;41,58;83,16;37,06;52,43;10,61;14,91;14,20;-27,60;24,25;16,17;0,00;0,00;0,00;0,00;0,00;81,20;159,30;95,26;78,64;134,44;68,11;2,29;1,89;1,62;1,84;16,88;23,86;797,41;228,96;323,79;22,39;31,30;16,03;-21,00;21,00;0,00;0,00;797,41;26,60;0,47;3390,00;138,35
L 120x120x16;120,00;16,00;13,00;6,50;0,00;0,00;36,00;35,50;84,50;469,40;274,40;743,80;195,00;938,80;1484,78;-45,00;36,10;27,60;45,40;23,30;51,10;64,20;56,19;70,45;17,91;-43,97;54,88;-38,81;45,11;43,97;87,66;38,81;55,57;11,30;15,98;15,11;-27,50;29,21;18,25;0,00;0,00;0,00;0,00;0,00;80,40;158,10;100,94;83,13;142,16;72,17;2,30;1,89;1,62;1,86;17,92;25,34;846,53;243,13;343,84;23,72;33,11;16,98;-20,50;20,50;0,10;0,00;846,53;28,30;0,47;3600,00;130,28
L 130x130x8;130,00;8,00;14,00;7,00;0,00;0,00;20,40;34,60;95,40;326,70;192,50;519,20;134,30;653,50;1035,66;-45,00;40,00;30,70;50,50;25,70;56,60;71,30;35,38;44,06;11,36;-27,82;38,75;-27,42;29,38;27,82;56,48;27,42;34,26;6,23;8,39;8,40;-30,60;4,21;5,27;0,00;0,00;0,00;0,00;0,00;96,40;183,00;62,54;52,61;89,84;45,05;2,25;1,89;1,59;1,64;10,08;14,26;478,73;136,76;193,41;14,70;20,71;10,70;-26,70;26,70;-0,20;0,00;478,73;16,00;0,51;2040,00;249,02
L 130x130x9;130,00;9,00;14,00;7,00;0,00;0,00;22,80;35,10;94,90;364,40;214,90;579,20;149,50;728,70;1155,56;-45,00;40,00;30,70;50,40;25,60;56,60;71,20;39,54;49,29;12,58;-31,07;42,60;-30,12;32,68;31,07;63,01;30,12;38,39;7,00;9,48;9,43;-30,60;5,96;6,62;0,00;0,00;0,00;0,00;0,00;95,10;181,70;70,00;58,72;100,28;50,33;2,25;1,89;1,59;1,67;11,29;15,97;535,84;153,25;216,73;16,45;23,17;11,93;-26,30;26,30;-0,10;0,00;535,84;17,90;0,51;2280,00;222,81
L 130x130x10;130,00;10,00;14,00;7,00;0,00;0,00;25,20;35,50;94,50;401,10;236,70;637,80;164,50;802,30;1272,52;-45,00;39,90;30,60;50,30;25,50;56,40;71,10;43,63;54,43;13,86;-34,23;46,25;-32,73;35,89;34,23;69,38;32,73;42,47;7,75;10,56;10,45;-30,50;8,12;8,12;0,00;0,00;0,00;0,00;0,00;93,90;180,20;77,36;64,72;110,54;55,54;2,26;1,89;1,59;1,70;12,50;17,68;592,47;169,60;239,85;18,18;25,58;13,14;-25,80;25,80;-0,10;0,00;592,47;19,80;0,51;2520,00;201,59
L 130x130x11;130,00;11,00;14,00;7,00;0,00;0,00;27,60;36,00;94,00;437,10;257,90;694,90;179,20;874,10;1386,62;-45,00;39,80;30,60;50,20;25,50;56,30;70,90;47,64;59,49;15,13;-37,35;49,82;-35,23;39,02;37,35;75,60;35,23;46,48;8,51;11,63;11,46;-30,50;10,74;9,76;0,00;0,00;0,00;0,00;0,00;92,90;179,10;84,61;70,62;120,64;60,67;2,27;1,89;1,60;1,72;13,70;19,37;648,64;185,81;262,78;19,88;27,96;14,34;-25,30;25,30;-0,10;0,00;648,64;21,70;0,51;2760,00;184,06
L 130x130x12;130,00;12,00;14,00;7,00;0,00;0,00;30,00;36,40;93,60;472,20;278,40;750,60;193,70;944,30;1497,88;-45,00;39,70;30,50;50,00;25,40;56,10;70,70;51,58;64,46;16,38;-40,42;53,26;-37,64;42,07;40,42;81,65;37,64;50,44;9,26;12,72;12,47;-30,40;13,85;11,54;0,00;0,00;0,00;0,00;0,00;91,90;177,80;91,77;76,43;130,57;65,74;2,27;1,89;1,60;1,75;14,88;21,04;704,33;201,89;285,51;21,57;30,30;15,52;-24,80;24,80;-0,10;0,00;704,33;23,50;0,51;3000,00;169,33
L 130x130x13;130,00;13,00;14,00;7,00;0,00;0,00;32,30;36,80;93,20;506,50;298,40;804,90;208,10;1013,00;1606,36;-45,00;39,60;30,40;49,90;25,40;56,00;70,50;55,46;69,35;17,61;-43,41;56,55;-39,99;45,07;43,41;87,56;39,99;54,35;10,01;13,82;13,47;-30,30;17,49;13,45;0,00;0,00;0,00;0,00;0,00;90,90;176,60;98,83;82,13;140,33;70,75;2,28;1,89;1,60;1,77;16,06;22,71;759,56;217,83;308,06;23,22;32,59;16,69;-24,30;24,30;0,00;0,00;759,56;25,40;0,51;3230,00;157,28
L 130x130x14;130,00;14,00;14,00;7,00;0,00;0,00;34,70;37,20;92,80;540,10;317,80;857,80;222,30;1080,10;1712,10;-45,00;39,50;30,30;49,80;25,30;55,90;70,20;59,27;74,15;18,83;-46,37;59,76;-42,26;48,00;46,37;93,32;42,26;58,20;10,76;14,94;14,46;-30,20;21,69;15,50;0,00;0,00;0,00;0,00;0,00;90,00;175,40;105,79;87,73;149,93;75,69;2,28;1,89;1,61;1,79;17,22;24,35;814,31;233,64;330,41;24,86;34,85;17,84;-23,80;23,80;0,00;0,00;814,31;27,20;0,51;3470,00;146,40
L 130x130x15;130,00;15,00;14,00;7,00;0,00;0,00;37,00;37,60;92,40;572,90;336,50;909,40;236,30;1145,70;1815,15;-45,00;39,40;30,20;49,60;25,30;55,70;70,00;63,01;78,88;20,03;-49,29;62,88;-44,45;50,86;49,29;98,93;44,45;62,00;11,51;16,06;15,44;-30,10;26,50;17,67;0,00;0,00;0,00;0,00;0,00;89,10;174,20;112,66;93,24;159,36;80,58;2,29;1,89;1,61;1,81;18,37;25,99;868,60;249,31;352,57;26,48;37,07;18,98;-23,30;23,30;0,00;0,00;868,60;29,00;0,51;3700,00;137,30
L 130x130x16;130,00;16,00;14,00;7,00;0,00;0,00;39,30;38,00;92,00;605,00;354,70;959,70;250,30;1210,00;1915,57;-45,00;39,30;30,00;49,40;25,30;55,60;69,80;66,67;83,52;21,21;-52,15;65,90;-46,60;53,69;52,15;104,40;46,60;65,75;12,26;17,21;16,43;-30,00;31,94;19,96;0,00;0,00;0,00;0,00;0,00;88,20;173,00;119,44;98,64;168,63;85,40;2,29;1,89;1,62;1,83;19,52;27,61;922,41;264,84;374,54;28,07;39,25;20,11;-22,80;22,80;0,00;0,00;922,41;30,90;0,51;3930,00;129,26
L 140x140x9;140,00;9,00;15,00;7,50;0,00;0,00;24,60;37,50;102,50;457,80;269,80;727,60;188,00;915,60;1451,50;-45,00;43,10;33,10;54,40;27,60;61,00;76,80;46,06;57,39;14,77;-36,22;50,15;-35,46;38,18;36,22;73,50;35,46;44,66;7,54;10,17;10,16;-33,00;6,45;7,16;0,00;0,00;0,00;0,00;0,00;103,20;196,60;81,47;68,45;116,89;58,64;2,25;1,89;1,59;1,65;12,20;17,25;578,87;165,46;233,99;19,14;26,97;13,91;-28,60;28,60;-0,20;0,00;578,87;19,30;0,55;2460,00;222,36
L 140x140x10;140,00;10,00;15,00;7,50;0,00;0,00;27,20;37,90;102,10;504,40;297,60;802,00;206,90;1008,90;1600,06;-45,00;43,00;33,10;54,30;27,60;60,80;76,70;50,86;63,42;16,17;-39,93;54,50;-38,56;41,97;39,93;81,01;38,56;49,43;8,37;11,36;11,27;-32,90;8,79;8,79;0,00;0,00;0,00;0,00;0,00;102,00;195,00;90,08;75,49;128,93;64,73;2,26;1,89;1,59;1,68;13,50;19,09;640,21;183,16;259,03;21,17;29,81;15,33;-28,10;28,10;-0,10;0,00;640,21;21,40;0,55;2720,00;201,10
L 140x140x11;140,00;11,00;15,00;7,50;0,00;0,00;29,80;38,40;101,60;550,10;324,60;874,70;225,50;1100,20;1745,24;-45,00;42,90;33,00;54,10;27,50;60,70;76,50;55,57;69,36;17,65;-43,60;58,75;-41,54;45,66;43,60;88,36;41,54;54,14;9,18;12,51;12,37;-32,90;11,63;10,57;0,00;0,00;0,00;0,00;0,00;100,90;193,90;98,58;82,43;140,79;70,75;2,26;1,89;1,59;1,70;14,79;20,92;701,07;200,74;283,88;23,17;32,60;16,74;-27,70;27,70;-0,10;0,00;701,07;23,40;0,55;2980,00;183,56
L 140x140x12;140,00;12,00;15,00;7,50;0,00;0,00;32,40;38,80;101,20;594,80;350,90;945,70;243,90;1189,60;1887,10;-45,00;42,80;32,90;54,00;27,40;60,50;76,30;60,22;75,20;19,12;-47,21;62,84;-44,44;49,29;47,21;95,53;44,44;58,78;9,99;13,68;13,46;-32,80;15,00;12,50;0,00;0,00;0,00;0,00;0,00;99,80;192,60;106,98;89,25;152,46;76,69;2,27;1,89;1,60;1,73;16,08;22,74;761,47;218,17;308,54;25,14;35,34;18,12;-27,20;27,20;-0,10;0,00;761,47;25,40;0,55;3240,00;168,83
L 140x140x13;140,00;13,00;15,00;7,50;0,00;0,00;35,00;39,20;100,80;638,50;376,50;1015,00;262,00;1277,00;2025,68;-45,00;42,70;32,80;53,90;27,40;60,40;76,10;64,78;80,96;20,57;-50,74;66,79;-47,23;52,82;50,74;102,53;47,23;63,37;10,80;14,85;14,54;-32,70;18,95;14,58;0,00;0,00;0,00;0,00;0,00;98,80;191,30;115,26;95,97;163,96;82,56;2,27;1,89;1,60;1,75;17,36;24,54;821,39;235,47;333,00;27,09;38,05;19,49;-26,70;26,70;-0,10;0,00;821,39;27,50;0,55;3500,00;156,29
L 140x140x14;140,00;14,00;15,00;7,50;0,00;0,00;37,50;39,60;100,40;681,40;401,40;1083,00;280,00;1363,00;2161,04;-45,00;42,60;32,70;53,70;27,30;60,20;75,90;69,28;86,62;22,00;-54,23;70,65;-49,95;56,30;54,23;109,40;49,95;67,89;11,61;16,04;15,62;-32,60;23,52;16,80;0,00;0,00;0,00;0,00;0,00;97,80;190,00;123,44;102,58;175,27;88,36;2,28;1,89;1,60;1,77;18,62;26,33;880,85;252,63;357,27;29,01;40,71;20,84;-26,20;26,20;0,00;0,00;880,85;29,40;0,55;3750,00;145,87
L 140x140x15;140,00;15,00;15,00;7,50;0,00;0,00;40,00;40,00;100,00;723,30;425,60;1149,00;297,70;1446,70;2293,23;-45,00;42,50;32,60;53,60;27,30;60,10;75,70;73,70;92,20;23,41;-57,66;74,36;-52,58;59,69;57,66;116,07;52,58;72,36;12,42;17,24;16,69;-32,50;28,75;19,17;0,00;0,00;0,00;0,00;0,00;96,90;188,80;131,53;109,08;186,41;94,10;2,28;1,89;1,61;1,79;19,88;28,11;939,83;269,66;381,36;30,91;43,33;22,18;-25,70;25,70;0,00;0,00;939,83;31,40;0,55;4000,00;136,75
L 140x140x16;140,00;16,00;15,00;7,50;0,00;0,00;42,50;40,40;99,60;764,40;449,20;1214,00;315,20;1529,20;2422,29;-45,00;42,40;32,50;53,40;27,20;60,00;75,50;78,04;97,69;24,80;-61,03;77,96;-55,13;63,01;61,03;122,63;55,13;76,77;13,22;18,44;17,76;-32,40;34,67;21,67;0,00;0,00;0,00;0,00;0,00;96,00;187,60;139,51;115,48;197,37;99,77;2,29;1,89;1,61;1,81;21,12;29,87;998,35;286,55;405,24;32,78;45,91;23,50;-25,20;25,20;0,00;0,00;998,35;33,40;0,55;4250,00;128,71
L 140x140x18;140,00;18,00;15,00;7,50;0,00;0,00;47,40;41,20;98,80;844,00;494,10;1338,00;350,00;1688,00;2671,25;-45,00;42,20;32,30;53,10;27,20;59,70;75,10;86,50;108,41;27,54;-67,65;84,92;-60,06;69,52;67,65;135,16;60,06;85,40;14,84;20,93;19,86;-32,20;48,73;27,07;0,00;0,00;0,00;0,00;0,00;94,20;185,30;155,18;127,95;218,77;110,93;2,29;1,89;1,62;1,85;23,58;33,35;1113,97;319,93;452,45;36,47;50,95;26,10;-24,20;24,20;0,10;0,00;1113,97;37,20;0,55;4740,00;115,40
L 150x150x10;150,00;10,00;16,00;8,00;0,00;0,00;29,30;40,30;109,70;624,00;368,00;992,00;256,10;1248,10;1979,04;-45,00;46,20;35,40;58,20;29,60;65,30;82,20;58,64;73,08;18,66;-46,07;63,47;-44,89;48,52;46,07;93,53;44,89;56,91;8,98;12,16;12,10;-35,30;9,46;9,46;0,00;0,00;0,00;0,00;0,00;110,10;209,90;103,76;87,09;148,73;74,63;2,25;1,89;1,59;1,66;14,50;20,51;687,99;196,73;278,22;24,38;34,35;17,69;-30,50;30,50;-0,20;0,00;687,99;23,00;0,59;2930,00;200,00
