Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 150x150x12;150,00;12,00;16,00;8,00;0,00;0,00;34,80;41,20;108,80;736,90;434,90;1172,00;302,10;1474,10;2338,11;-45,00;46,00;35,40;58,00;29,40;65,10;82,00;69,51;86,76;22,07;-54,52;73,26;-51,82;57,07;54,52;110,50;51,82;67,75;10,73;14,64;14,46;-35,20;16,15;13,46;0,00;0,00;0,00;0,00;0,00;107,80;207,30;123,34;103,07;176,05;88,48;2,26;1,89;1,59;1,71;17,28;24,44;818,65;234,45;331,56;28,99;40,78;20,93;-29,50;29,50;-0,10;0,00;818,65;27,30;0,59;3480,00;168,39
L 150x150x13;150,00;13,00;16,00;8,00;0,00;0,00;37,60;41,60;108,40;791,70;467,10;1259,00;324,60;1583,60;2511,91;-45,00;45,90;35,20;57,90;29,40;64,90;81,70;74,82;93,46;23,75;-58,64;77,94;-55,11;61,19;58,64;118,70;55,11;73,07;11,60;15,88;15,62;-35,10;20,42;15,71;0,00;0,00;0,00;0,00;0,00;106,70;206,30;132,96;110,88;189,42;95,29;2,27;1,89;1,60;1,73;18,65;26,38;883,28;253,11;357,95;31,24;43,92;22,51;-29,00;29,00;-0,10;0,00;883,28;29,50;0,59;3760,00;155,85
L 150x150x14;150,00;14,00;16,00;8,00;0,00;0,00;40,30;42,10;107,90;845,40;498,50;1344,00;346,90;1690,90;2681,96;-45,00;45,80;35,20;57,70;29,30;64,80;81,60;80,06;100,05;25,41;-62,70;82,47;-58,32;65,25;62,70;126,71;58,32;78,33;12,46;17,14;16,78;-35,10;25,35;18,11;0,00;0,00;0,00;0,00;0,00;105,70;205,00;142,46;118,58;202,60;102,03;2,27;1,89;1,60;1,75;20,02;28,31;947,43;271,63;384,14;33,48;47,03;24,08;-28,60;28,60;-0,10;0,00;947,43;31,60;0,59;4030,00;145,41
L 150x150x15;150,00;15,00;16,00;8,00;0,00;0,00;43,00;42,50;107,50;898,10;529,10;1427,00;369,00;1796,00;2848,31;-45,00;45,70;35,10;57,60;29,30;64,60;81,40;85,22;106,55;27,05;-66,70;86,88;-61,44;69,24;66,70;134,54;61,44;83,52;13,33;18,42;17,92;-35,00;31,00;20,67;0,00;0,00;0,00;0,00;0,00;104,80;203,80;151,85;126,17;215,58;108,68;2,28;1,89;1,60;1,77;21,38;30,23;1011,12;290,01;410,14;35,68;50,08;25,64;-28,10;28,10;-0,10;0,00;1011,12;33,80;0,59;4300,00;136,28
L 150x150x16;150,00;16,00;16,00;8,00;0,00;0,00;45,70;42,90;107,10;949,70;558,90;1509,00;390,80;1899,80;3011,02;-45,00;45,60;35,00;57,40;29,20;64,50;81,20;90,29;112,96;28,67;-70,64;91,16;-64,46;73,13;70,64;142,27;64,46;88,65;14,20;19,70;19,09;-34,90;37,40;23,37;0,00;0,00;0,00;0,00;0,00;103,90;202,60;161,12;133,64;228,37;115,27;2,28;1,89;1,61;1,79;22,72;32,13;1074,33;308,26;435,94;37,86;53,09;27,17;-27,60;27,60;0,00;0,00;1074,33;35,90;0,59;4570,00;128,23
L 150x150x18;150,00;18,00;16,00;8,00;0,00;0,00;51,00;43,70;106,30;1050,00;616,10;1666,00;433,80;2099,80;3325,72;-45,00;45,40;34,80;57,10;29,20;64,20;80,80;100,20;125,49;31,86;-78,36;99,39;-70,26;80,72;78,36;157,07;70,26;98,74;15,92;22,30;21,34;-34,70;52,62;29,23;0,00;0,00;0,00;0,00;0,00;102,10;200,20;179,37;148,23;253,39;128,24;2,29;1,89;1,61;1,83;25,38;35,89;1199,35;344,35;486,98;42,15;58,98;30,20;-26,60;26,60;0,00;0,00;1199,35;40,00;0,59;5100,00;114,90
L 150x150x20;150,00;20,00;16,00;8,00;0,00;0,00;56,30;44,40;105,60;1146,00;670,20;1817,00;476,20;2293,20;3626,50;-45,00;45,10;34,50;56,80;29,10;63,80;80,30;109,80;137,64;34,97;-85,81;107,10;-75,80;88,07;85,81;171,31;75,80;108,60;17,64;24,98;23,61;-34,40;71,31;35,65;0,00;0,00;0,00;0,00;0,00;100,30;197,60;197,20;162,37;277,66;140,95;2,30;1,89;1,62;1,86;28,00;39,60;1322,49;379,90;537,26;46,34;64,69;33,16;-25,60;25,60;0,10;0,00;1322,49;44,20;0,59;5630,00;104,09
L 160x160x12;160,00;12,00;17,00;8,50;0,00;0,00;37,30;43,60;116,40;900,00;531,10;1431,00;369,00;1800,00;2855,35;-45,00;49,10;37,70;62,00;31,50;69,40;87,50;79,46;99,14;25,24;-62,37;84,55;-59,80;65,43;62,37;126,48;59,80;77,30;11,46;15,60;15,44;-37,60;17,31;14,42;0,00;0,00;0,00;0,00;0,00;115,80;222,10;140,86;117,88;201,34;101,13;2,26;1,89;1,59;1,69;18,48;26,13;875,89;250,73;354,59;33,10;46,59;23,93;-31,90;31,90;-0,10;0,00;875,89;29,30;0,63;3730,00;167,56
L 160x160x14;160,00;14,00;17,00;8,50;0,00;0,00;43,20;44,50;115,50;1034,00;609,90;1644,00;423,90;2067,90;3280,08;-45,00;48,90;37,60;61,70;31,30;69,20;87,10;91,62;114,44;29,07;-71,82;95,33;-67,38;74,89;71,82;145,31;67,38;89,50;13,32;18,26;17,94;-37,50;27,18;19,42;0,00;0,00;0,00;0,00;0,00;113,60;219,70;162,82;135,75;231,90;116,68;2,27;1,89;1,60;1,73;21,42;30,29;1014,07;290,62;411,00;38,26;53,79;27,56;-30,90;30,90;-0,10;0,00;1014,07;33,90;0,63;4320,00;144,68
L 160x160x15;160,00;15,00;17,00;8,50;0,00;0,00;46,10;44,90;115,10;1099,00;647,90;1747,00;450,90;2197,90;3486,03;-45,00;48,80;37,50;61,60;31,30;69,00;87,00;97,56;121,94;30,96;-76,43;100,47;-71,01;79,49;76,43;154,41;71,01;95,47;14,25;19,60;19,17;-37,40;33,25;22,17;0,00;0,00;0,00;0,00;0,00;112,70;218,40;173,62;144,50;246,87;124,33;2,27;1,89;1,60;1,75;22,88;32,35;1082,46;310,36;438,92;40,80;57,31;29,35;-30,40;30,40;-0,10;0,00;1082,46;36,20;0,63;4610,00;135,58
L 160x160x16;160,00;16,00;17,00;8,50;0,00;0,00;49,00;45,30;114,70;1163,00;685,00;1848,00;477,70;2325,70;3687,77;-45,00;48,70;37,40;61,40;31,20;68,90;86,80;103,43;129,33;32,83;-80,99;105,50;-74,56;84,02;80,99;163,34;74,56;101,40;15,18;20,96;20,40;-37,30;40,13;25,08;0,00;0,00;0,00;0,00;0,00;111,70;217,20;184,30;153,12;261,63;131,90;2,28;1,89;1,60;1,77;24,32;34,39;1150,37;329,97;466,64;43,31;60,78;31,11;-29,90;29,90;-0,10;0,00;1150,37;38,50;0,63;4900,00;127,55
L 160x160x17;160,00;17,00;17,00;8,50;0,00;0,00;51,80;45,70;114,30;1225,00;721,20;1947,00;504,20;2451,20;3885,37;-45,00;48,60;37,30;61,30;31,20;68,70;86,60;109,21;136,62;34,67;-85,38;110,22;-78,00;88,46;85,38;172,09;78,00;107,20;16,08;22,33;21,63;-37,20;47,87;28,16;0,00;0,00;0,00;0,00;0,00;110,80;216,00;194,86;161,62;276,19;139,40;2,28;1,89;1,61;1,79;25,75;36,42;1217,82;349,44;494,18;45,79;64,21;32,86;-29,40;29,40;0,00;0,00;1217,82;40,70;0,63;5180,00;120,66
L 160x160x18;160,00;18,00;17,00;8,50;0,00;0,00;54,70;46,10;113,90;1287,00;756,50;2043,00;530,40;2573,40;4078,88;-45,00;48,50;37,20;61,10;31,10;68,60;86,40;114,90;143,81;36,50;-89,86;115,07;-81,35;92,81;89,86;180,58;81,35;113,00;17,01;23,70;22,82;-37,10;56,50;31,39;0,00;0,00;0,00;0,00;0,00;109,90;214,80;205,31;170,00;290,55;146,82;2,29;1,89;1,61;1,81;27,18;38,44;1284,79;368,77;521,52;48,25;67,59;34,59;-29,00;29,00;0,00;0,00;1284,79;42,90;0,63;5470,00;114,26
L 160x160x19;160,00;19,00;17,00;8,50;0,00;0,00;57,50;46,50;113,50;1347,00;790,90;2138,00;556,50;2694,50;4268,37;-45,00;48,40;37,10;61,00;31,10;68,40;86,20;120,51;150,90;38,30;-94,17;119,61;-84,64;97,12;94,17;188,97;84,64;118,70;17,92;25,11;24,04;-37,00;66,08;34,78;0,00;0,00;0,00;0,00;0,00;109,00;213,70;215,64;178,26;304,71;154,17;2,29;1,89;1,61;1,82;28,59;40,44;1351,30;387,97;548,67;50,68;70,92;36,31;-28,50;28,50;0,00;0,00;1351,30;45,10;0,63;5750,00;108,70
L 160x160x20;160,00;20,00;17,00;8,50;0,00;0,00;60,30;46,90;113,10;1407,00;824,40;2231,00;582,00;2813,00;4453,88;-45,00;48,30;37,00;60,80;31,10;68,30;85,90;126,03;157,89;40,09;-98,57;124,28;-87,79;101,29;98,57;197,19;87,79;124,00;18,86;26,49;25,25;-36,90;76,64;38,32;0,00;0,00;0,00;0,00;0,00;108,10;212,50;225,87;186,40;318,67;161,46;2,29;1,89;1,62;1,84;30,00;42,43;1417,33;407,03;575,63;53,08;74,21;38,00;-28,00;28,00;0,10;0,00;1417,33;47,30;0,63;6030,00;103,65
L 180x180x13;180,00;13,00;18,00;9,00;0,00;0,00;45,50;49,00;131,00;1396,00;824,40;2220,00;571,70;2791,70;4431,52;-45,00;55,40;42,60;69,90;35,50;78,30;98,70;109,31;136,48;34,91;-85,83;116,73;-82,56;90,04;85,83;174,42;82,56;106,50;13,97;19,00;18,83;-42,50;24,81;19,09;0,00;0,00;0,00;0,00;0,00;129,80;250,00;193,84;162,09;276,84;139,00;2,26;1,89;1,59;1,68;22,56;31,90;1068,30;306,02;432,78;45,55;64,14;32,89;-36,30;36,30;-0,10;0,00;1068,30;35,70;0,71;4550,00;154,95
L 180x180x14;180,00;14,00;18,00;9,00;0,00;0,00;48,80;49,40;130,60;1493,00;881,80;2375,00;611,40;2986,40;4739,97;-45,00;55,30;42,50;69,80;35,40;78,20;98,60;117,12;146,29;37,36;-91,87;123,73;-87,52;96,14;91,87;186,60;87,52;114,30;15,02;20,49;20,24;-42,40;30,84;22,03;0,00;0,00;0,00;0,00;0,00;128,70;248,60;207,89;173,56;296,44;148,95;2,26;1,89;1,59;1,70;24,22;34,25;1146,56;328,61;464,73;48,85;68,76;35,22;-35,80;35,80;-0,10;0,00;1146,56;38,30;0,71;4880,00;144,47
L 180x180x15;180,00;15,00;18,00;9,00;0,00;0,00;52,10;49,80;130,20;1589,00;938,00;2527,00;650,60;3177,60;5042,92;-45,00;55,20;42,40;69,60;35,30;78,10;98,40;124,86;155,99;39,52;-97,89;130,67;-92,34;102,13;97,89;198,54;92,34;122,00;16,09;22,05;21,67;-42,30;37,75;25,17;0,00;0,00;0,00;0,00;0,00;127,70;247,30;221,80;184,88;315,81;158,80;2,27;1,89;1,59;1,72;25,88;36,59;1224,34;351,07;496,48;52,12;73,31;37,52;-35,30;35,30;-0,10;0,00;1224,34;40,90;0,71;5210,00;135,32
L 180x180x16;180,00;16,00;18,00;9,00;0,00;0,00;55,40;50,20;129,80;1682,00;993,00;2675,00;689,40;3364,40;5340,42;-45,00;55,10;42,30;69,50;35,30;77,90;98,20;132,48;165,56;41,93;-103,68;137,16;-97,04;108,01;103,68;210,17;97,04;129,70;17,11;23,56;23,05;-42,20;45,59;28,49;0,00;0,00;0,00;0,00;0,00;126,70;246,10;235,57;196,07;334,95;168,56;2,27;1,89;1,59;1,74;27,52;38,92;1301,66;373,38;528,05;55,36;77,82;39,79;-34,80;34,80;-0,10;0,00;1301,66;43,50;0,71;5540,00;127,26
L 180x180x17;180,00;17,00;18,00;9,00;0,00;0,00;58,70;50,60;129,40;1775,00;1047,00;2822,00;727,90;3549,90;5632,55;-45,00;55,00;42,20;69,40;35,20;77,80;98,00;140,00;175,03;44,31;-109,55;143,76;-101,64;113,81;109,55;221,72;101,64;137,20;18,17;25,08;24,45;-42,10;54,42;32,01;0,00;0,00;0,00;0,00;0,00;125,80;244,90;249,21;207,11;353,85;178,23;2,28;1,89;1,60;1,75;29,16;41,23;1378,50;395,57;559,42;58,56;82,26;42,05;-34,30;34,30;-0,10;0,00;1378,50;46,10;0,71;5870,00;120,10
L 180x180x18;180,00;18,00;18,00;9,00;0,00;0,00;61,90;51,00;129,00;1866,00;1100,00;2965,00;766,00;3731,00;5919,37;-45,00;54,90;42,20;69,20;35,20;77,60;97,80;147,42;184,38;46,68;-115,28;150,08;-106,12;119,51;115,28;232,95;106,12;144,70;19,21;26,61;25,82;-42,00;64,28;35,71;0,00;0,00;0,00;0,00;0,00;124,90;243,70;262,71;218,02;372,52;187,81;2,28;1,89;1,60;1,77;30,78;43,53;1454,88;417,62;590,60;61,74;86,66;44,29;-33,80;33,80;0,00;0,00;1454,88;48,60;0,71;6190,00;113,89
L 180x180x19;180,00;19,00;18,00;9,00;0,00;0,00;65,10;51,40;128,60;1955,00;1151,00;3106,00;803,80;3909,80;6200,94;-45,00;54,80;42,00;69,10;35,10;77,50;97,60;154,76;193,61;49,02;-120,96;156,31;-110,50;125,12;120,96;244,03;110,50;152,10;20,24;28,15;27,20;-41,90;75,23;39,59;0,00;0,00;0,00;0,00;0,00;124,00;242,50;276,08;228,78;390,96;197,30;2,28;1,89;1,60;1,79;32,39;45,81;1530,78;439,53;621,59;64,88;91,00;46,50;-33,30;33,30;0,00;0,00;1530,78;51,10;0,71;6510,00;108,30
L 180x180x20;180,00;20,00;18,00;9,00;0,00;0,00;68,30;51,80;128,20;2043,00;1202,00;3244,00;841,30;4085,30;6477,33;-45,00;54,70;42,00;68,90;35,10;77,40;97,40;161,99;202,73;51,33;-126,52;162,26;-114,78;130,65;126,52;254,87;114,78;159,40;21,29;29,71;28,57;-41,80;87,31;43,65;0,00;0,00;0,00;0,00;0,00;123,10;241,40;289,33;239,42;409,18;206,71;2,29;1,89;1,61;1,80;34,00;48,08;1606,22;461,30;652,38;67,99;95,28;48,70;-32,80;32,80;0,00;0,00;1606,22;53,60;0,71;6830,00;103,22
L 180x180x22;180,00;22,00;18,00;9,00;0,00;0,00;74,70;52,60;127,40;2214,00;1299,00;3513,00;915,60;4428,60;7014,83;-45,00;54,40;41,70;68,60;35,00;76,90;96,90;176,18;220,63;55,90;-137,50;173,94;-123,08;141,48;137,50;276,01;123,08;173,80;23,34;32,86;31,29;-41,60;115,05;52,29;0,00;0,00;0,00;0,00;0,00;121,40;239,10;315,44;260,27;444,93;225,29;2,29;1,89;1,61;1,83;37,18;52,58;1755,68;504,45;713,40;74,13;103,70;53,03;-31,80;31,80;0,10;0,00;1755,68;58,60;0,71;7470,00;94,38
L 200x200x13;200,00;13,00;18,00;9,00;0,00;0,00;50,70;54,00;146,00;1939,00;1146,00;3085,00;792,80;3877,80;6159,56;-45,00;61,90;47,50;78,00;39,60;87,50;110,20;135,95;169,96;43,42;-106,96;146,97;-103,90;112,33;106,96;218,14;103,90;132,80;15,57;21,21;21,00;-47,50;27,74;21,34;0,00;0,00;0,00;0,00;0,00;143,90;278,30;241,20;201,62;344,31;172,74;2,26;1,89;1,58;1,66;25,16;35,57;1190,50;341,30;482,67;56,68;79,88;40,88;-41,20;41,20;-0,10;0,00;1190,50;39,80;0,79;5070,00;154,83
L 200x200x15;200,00;15,00;18,00;9,00;0,00;0,00;58,10;54,80;145,20;2209,00;1306,00;3516,00;903,00;4419,00;7019,17;-45,00;61,70;47,40;77,80;39,40;87,30;109,90;155,46;194,45;49,55;-122,00;164,75;-116,49;127,57;122,00;248,62;116,49;152,20;17,90;24,51;24,15;-47,30;42,25;28,17;0,00;0,00;0,00;0,00;0,00;141,90;275,70;276,20;230,24;393,24;197,51;2,26;1,89;1,58;1,70;28,87;40,84;1365,34;391,77;554,04;64,91;91,39;46,67;-40,20;40,20;-0,10;0,00;1365,34;45,60;0,79;5810,00;135,11
L 200x200x16;200,00;16,00;18,00;9,00;0,00;0,00;61,80;55,20;144,80;2341,00;1384,00;3725,00;957,20;4682,20;7438,68;-45,00;61,60;47,30;77,60;39,40;87,10;109,70;165,06;206,50;52,56;-129,37;173,28;-122,56;135,00;129,37;263,40;122,56;161,70;19,06;26,17;25,69;-47,20;51,05;31,91;0,00;0,00;0,00;0,00;0,00;141,00;274,50;293,47;244,31;417,31;209,74;2,27;1,89;1,58;1,71;30,72;43,44;1452,06;416,80;589,45;68,96;97,05;49,53;-39,70;39,70;-0,10;0,00;1452,06;48,50;0,79;6180,00;127,02
L 200x200x17;200,00;17,00;18,00;9,00;0,00;0,00;65,50;55,60;144,40;2472,00;1461,00;3932,00;1011,00;4943,00;7851,42;-45,00;61,40;47,20;77,50;39,30;86,80;109,50;174,57;218,42;55,55;-136,71;181,72;-128,49;142,33;136,71;278,03;128,49;171,20;20,23;27,84;27,25;-47,10;60,97;35,86;0,00;0,00;0,00;0,00;0,00;140,10;273,30;310,58;258,23;441,12;221,86;2,27;1,89;1,59;1,73;32,55;46,04;1538,30;441,70;624,66;72,99;102,66;52,36;-39,20;39,20;0,00;0,00;1538,30;51,40;0,79;6550,00;119,85
L 200x200x18;200,00;18,00;18,00;9,00;0,00;0,00;69,10;56,00;144,00;2600,00;1535,00;4135,00;1064,00;5199,00;8257,47;-45,00;61,30;47,10;77,40;39,20;86,70;109,30;183,97;230,20;58,50;-143,99;190,05;-134,26;149,50;143,99;292,39;134,26;180,60;21,39;29,50;28,80;-47,00;72,06;40,03;0,00;0,00;0,00;0,00;0,00;139,20;272,10;327,53;272,00;464,67;233,88;2,28;1,89;1,59;1,74;34,38;48,62;1624,08;466,46;659,67;76,97;108,20;55,17;-38,70;38,70;0,00;0,00;1624,08;54,20;0,79;6910,00;113,60
L 200x200x19;200,00;19,00;18,00;9,00;0,00;0,00;72,70;56,40;143,60;2726,00;1609,00;4335,00;1117,00;5452,00;8656,89;-45,00;61,20;47,00;77,20;39,20;86,50;109,10;193,27;241,86;61,43;-151,05;197,92;-139,95;156,63;151,05;306,53;139,95;189,90;22,54;31,20;30,34;-46,90;84,37;44,41;0,00;0,00;0,00;0,00;0,00;138,30;271,00;344,34;285,61;487,96;245,80;2,28;1,89;1,59;1,76;36,19;51,19;1709,38;491,08;694,50;80,92;113,68;57,96;-38,20;38,20;0,00;0,00;1709,38;57,10;0,79;7270,00;107,98
L 200x200x20;200,00;20,00;18,00;9,00;0,00;0,00;76,30;56,80;143,20;2851,00;1681,00;4532,00;1169,00;5701,00;9049,77;-45,00;61,10;46,90;77,00;39,10;86,40;108,90;202,47;253,40;64,32;-158,17;205,87;-145,45;163,58;158,17;320,46;145,45;199,10;23,70;32,88;31,88;-46,80;97,97;48,99;0,00;0,00;0,00;0,00;0,00;137,50;269,90;360,99;299,06;511,00;257,62;2,28;1,89;1,60;1,77;38,00;53,74;1794,22;515,57;729,13;84,83;119,10;60,72;-37,70;37,70;0,00;0,00;1794,22;59,90;0,79;7630,00;102,88
L 200x200x21;200,00;21,00;18,00;9,00;0,00;0,00;79,90;57,20;142,80;2973,00;1752,00;4725,00;1221,00;5946,00;9436,17;-45,00;61,00;46,80;76,90;39,10;86,30;108,70;211,57;264,80;67,19;-165,06;213,38;-150,88;170,48;165,06;334,11;150,88;208,20;24,85;34,59;33,41;-46,70;112,91;53,77;0,00;0,00;0,00;0,00;0,00;136,70;268,80;377,50;312,36;533,79;269,35;2,29;1,89;1,60;1,79;39,79;56,28;1878,58;539,93;763,57;88,71;124,46;63,46;-37,20;37,20;0,00;0,00;1878,58;62,70;0,79;7990,00;98,25
L 200x200x22;200,00;22,00;18,00;9,00;0,00;0,00;83,50;57,60;142,40;3094,00;1821,00;4915,00;1273,00;6188,00;9816,16;-45,00;60,90;46,70;76,70;39,00;86,10;108,40;220,56;276,08;69,64;-172,00;220,97;-156,25;177,35;172,00;347,54;156,25;217,30;26,03;36,46;34,95;-46,60;129,25;58,75;0,00;0,00;0,00;0,00;0,00;135,80;267,70;393,87;325,51;556,32;280,98;2,29;1,89;1,60;1,80;41,58;58,80;1962,48;564,15;797,82;92,56;129,76;66,18;-36,70;36,70;0,10;0,00;1962,48;65,50;0,79;8350,00;94,01
L 200x200x23;200,00;23,00;18,00;9,00;0,00;0,00;87,10;58,00;142,00;3213,00;1889,00;5102,00;1324,00;6426,00;10189,82;-45,00;60,80;46,60;76,60;39,00;86,00;108,20;229,43;287,23;72,49;-178,81;228,31;-161,44;184,03;178,81;360,77;161,44;226,30;27,18;38,19;36,47;-46,50;147,02;63,92;0,00;0,00;0,00;0,00;0,00;135,00;266,60;410,10;338,51;578,59;292,52;2,29;1,89;1,60;1,81;43,35;61,31;2045,90;588,23;831,88;96,37;135,00;68,88;-36,20;36,20;0,10;0,00;2045,90;68,40;0,79;8710,00;90,13
